Sample in Buffer,Sample in Window,TRIGGER,mipi_phy_inst/lane1_byte_data[7:0],mipi_phy_inst/lane0_byte_data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
771,771,0,a3,b4
772,772,0,63,46
773,773,0,16,47
774,774,0,a5,38
775,775,0,34,45
776,776,0,13,b2
777,777,0,74,4c
778,778,0,47,45
779,779,0,14,3e
780,780,0,b4,3f
781,781,0,e3,89
782,782,0,3,4b
783,783,0,59,3f
784,784,0,c5,49
785,785,0,4,43
786,786,0,b4,d4
787,787,0,93,4c
788,788,0,9d,49
789,789,0,24,3b
790,790,0,d5,41
791,791,0,b3,fb
792,792,0,c3,45
793,793,0,a8,4b
794,794,0,54,36
795,795,0,e4,3a
796,796,0,d3,50
797,797,0,a3,48
798,798,0,37,48
799,799,0,d4,3a
800,800,0,e4,46
801,801,0,d3,75
802,802,0,d3,44
803,803,0,76,48
804,804,0,74,3d
805,805,0,b4,40
806,806,0,43,3f
807,807,0,54,4c
808,808,0,7d,4e
809,809,0,a4,3e
810,810,0,74,37
811,811,0,e4,7
812,812,0,e3,49
813,813,0,bb,49
814,814,0,84,37
815,815,0,a4,39
816,816,0,a3,3
817,817,0,d3,4e
818,818,0,3e,43
819,819,0,e4,38
820,820,0,44,33
821,821,0,f4,75
822,822,0,c3,4c
823,823,0,f2,47
824,824,0,84,42
825,825,0,34,42
826,826,0,74,22
827,827,0,64,4b
828,828,0,1a,4e
829,829,0,85,38
830,830,0,4,3c
831,831,0,44,9a
832,832,0,f3,4a
833,833,0,ba,57
834,834,0,a4,3d
835,835,0,4,3e
836,836,0,24,ef
837,837,0,84,4d
838,838,0,56,4b
839,839,0,65,44
840,840,0,c4,36
841,841,0,53,44
842,842,0,d3,4c
843,843,0,de,44
844,844,0,c4,40
845,845,0,34,3c
846,846,0,c4,c0
847,847,0,93,50
848,848,0,d4,43
849,849,0,c4,35
850,850,0,14,3f
851,851,0,24,d9
852,852,0,34,50
853,853,0,38,4f
854,854,0,a5,3d
855,855,0,b4,3d
856,856,0,a3,c8
857,857,0,53,4c
858,858,0,a6,49
859,859,0,4,3c
860,860,0,14,3e
861,861,0,4,13
862,862,0,34,56
863,863,0,bb,49
864,864,0,54,37
865,865,0,5,3e
866,866,0,94,75
867,867,0,73,4b
868,868,0,2c,55
869,869,0,45,3c
870,870,0,15,3c
871,871,0,34,38
872,872,0,b4,4a
873,873,0,d8,4b
874,874,0,e4,3c
875,875,0,24,4a
876,876,0,f4,f7
877,877,0,c3,54
878,878,0,e4,4b
879,879,0,14,3d
880,880,0,b5,3c
881,881,0,f3,4a
882,882,0,53,4f
883,883,0,c8,4d
884,884,0,84,40
885,885,0,e4,3c
886,886,0,63,13
887,887,0,d3,47
888,888,0,16,51
889,889,0,85,44
890,890,0,14,42
891,891,0,b4,ed
892,892,0,d3,4b
893,893,0,84,52
894,894,0,74,3b
895,895,0,d4,3b
896,896,0,63,4a
897,897,0,33,4f
898,898,0,78,4f
899,899,0,44,41
900,900,0,d4,3f
901,901,0,33,1d
902,902,0,a4,4c
903,903,0,e2,43
904,904,0,54,41
905,905,0,74,40
906,906,0,24,b0
907,907,0,34,4b
908,908,0,d4,50
909,909,0,4,3a
910,910,0,15,40
911,911,0,14,5a
912,912,0,4,4d
913,913,0,95,45
914,914,0,94,42
915,915,0,95,46
916,916,0,a4,a6
917,917,0,3,4f
918,918,0,8a,4e
919,919,0,84,3e
920,920,0,44,41
921,921,0,94,bd
922,922,0,14,48
923,923,0,1c,50
924,924,0,f5,41
925,925,0,d4,3f
926,926,0,73,51
927,927,0,83,43
928,928,0,a9,51
929,929,0,a4,37
930,930,0,64,3b
931,931,0,54,81
932,932,0,74,58
933,933,0,d0,50
934,934,0,14,46
935,935,0,e4,42
936,936,0,73,bf
937,937,0,c3,51
938,938,0,3c,4f
939,939,0,25,43
940,940,0,15,3a
941,941,0,64,a5
942,942,0,c4,47
943,943,0,a8,51
944,944,0,e4,3c
945,945,0,54,3d
946,946,0,84,8d
947,947,0,c4,4a
948,948,0,43,50
949,949,0,a4,46
950,950,0,55,4e
951,951,0,44,b7
952,952,0,c4,50
953,953,0,1d,54
954,954,0,f5,40
955,955,0,14,3c
956,956,0,34,4d
957,957,0,4,52
958,958,0,be,56
959,959,0,54,3a
960,960,0,35,38
961,961,0,4,f5
962,962,0,c4,56
963,963,0,8,59
964,964,0,5,46
965,965,0,55,36
966,966,0,a4,82
967,967,0,14,4e
968,968,0,73,56
969,969,0,d5,3f
970,970,0,34,49
971,971,0,24,92
972,972,0,14,51
973,973,0,50,55
974,974,0,65,43
975,975,0,75,38
976,976,0,34,6d
977,977,0,b4,4b
978,978,0,6f,54
979,979,0,a5,39
980,980,0,25,3d
981,981,0,94,8f
982,982,0,a3,48
983,983,0,5a,48
984,984,0,85,42
985,985,0,e5,4b
986,986,0,74,34
987,987,0,54,54
988,988,0,e8,57
989,989,0,84,4b
990,990,0,b5,52
991,991,0,64,3
992,992,0,b4,54
993,993,0,be,52
994,994,0,d4,52
995,995,0,a4,4e
996,996,0,44,b6
997,997,0,c4,55
998,998,0,7a,53
999,999,0,d5,4e
1000,1000,0,b4,4a
1001,1001,0,74,34
1002,1002,0,94,5c
1003,1003,0,41,5a
1004,1004,0,55,41
1005,1005,0,85,43
1006,1006,0,84,91
1007,1007,0,54,57
1008,1008,0,5f,57
1009,1009,0,25,49
1010,1010,0,c5,43
1011,1011,0,a3,99
1012,1012,0,14,57
1013,1013,0,55,51
1014,1014,0,34,3d
1015,1015,0,d5,4a
1016,1016,0,a4,d4
1017,1017,0,23,5b
1018,1018,0,7d,55
1019,1019,0,75,46
1020,1020,0,d5,47
1021,1021,0,43,ce
1022,1022,0,34,5f
1023,1023,0,94,5d
1024,1024,1,14,43
1025,1025,0,35,3e
1026,1026,0,74,be
1027,1027,0,d3,4c
1028,1028,0,14,48
1029,1029,0,44,43
1030,1030,0,c4,46
1031,1031,0,53,69
1032,1032,0,44,4b
1033,1033,0,67,45
1034,1034,0,4,3b
1035,1035,0,24,3b
1036,1036,0,d3,bd
1037,1037,0,92,47
1038,1038,0,70,39
1039,1039,0,83,2e
1040,1040,0,a3,34
1041,1041,0,c3,cc
1042,1042,0,a3,46
1043,1043,0,a1,4c
1044,1044,0,84,40
1045,1045,0,4,3f
1046,1046,0,b4,ac
1047,1047,0,93,48
1048,1048,0,91,4d
1049,1049,0,54,3c
1050,1050,0,95,3e
1051,1051,0,f4,d3
1052,1052,0,24,50
1053,1053,0,2c,52
1054,1054,0,95,4c
1055,1055,0,95,4c
1056,1056,0,a4,1b
1057,1057,0,4,56
1058,1058,0,f0,56
1059,1059,0,5,48
1060,1060,0,e5,4c
1061,1061,0,e4,e2
1062,1062,0,74,57
1063,1063,0,65,5d
1064,1064,0,95,4e
1065,1065,0,35,52
1066,1066,0,35,dd
1067,1067,0,45,53
1068,1068,0,c4,53
1069,1069,0,c5,50
1070,1070,0,35,45
1071,1071,0,64,90
1072,1072,0,24,5b
1073,1073,0,16,5a
1074,1074,0,d5,4c
1075,1075,0,15,4e
1076,1076,0,75,77
1077,1077,0,55,5e
1078,1078,0,f6,51
1079,1079,0,a5,4e
1080,1080,0,e5,5b
1081,1081,0,34,61
1082,1082,0,35,5a
1083,1083,0,a9,5a
1084,1084,0,15,4a
1085,1085,0,16,5a
1086,1086,0,d5,e9
1087,1087,0,64,5a
1088,1088,0,49,5d
1089,1089,0,5,4a
1090,1090,0,96,50
1091,1091,0,45,68
1092,1092,0,44,63
1093,1093,0,ee,5a
1094,1094,0,f5,5a
1095,1095,0,85,58
1096,1096,0,b5,f7
1097,1097,0,35,5c
1098,1098,0,f9,62
1099,1099,0,a5,52
1100,1100,0,45,4d
1101,1101,0,55,10
1102,1102,0,15,63
1103,1103,0,23,61
1104,1104,0,76,53
1105,1105,0,85,5b
1106,1106,0,74,a5
1107,1107,0,25,5d
1108,1108,0,d5,59
1109,1109,0,75,5c
1110,1110,0,f5,61
1111,1111,0,c4,df
1112,1112,0,c5,67
1113,1113,0,1,5e
1114,1114,0,d6,50
1115,1115,0,e5,54
1116,1116,0,e5,28
1117,1117,0,24,61
1118,1118,0,19,59
1119,1119,0,16,58
1120,1120,0,86,61
1121,1121,0,f5,9b
1122,1122,0,d5,68
1123,1123,0,16,69
1124,1124,0,56,59
1125,1125,0,c6,52
1126,1126,0,c5,d6
1127,1127,0,56,64
1128,1128,0,9f,63
1129,1129,0,b6,5c
1130,1130,0,16,5a
1131,1131,0,96,39
1132,1132,0,85,67
1133,1133,0,4e,70
1134,1134,0,f6,59
1135,1135,0,26,5d
1136,1136,0,5,1e
1137,1137,0,26,66
1138,1138,0,39,61
1139,1139,0,56,64
1140,1140,0,76,5f
1141,1141,0,26,e4
1142,1142,0,6,6a
1143,1143,0,d3,6e
1144,1144,0,d6,66
1145,1145,0,26,69
1146,1146,0,a6,9f
1147,1147,0,d6,6c
1148,1148,0,83,68
1149,1149,0,c6,68
